Event ID,Event Name,Sport Type,Venue,Date Start
845e9bbebc7d41b39b5f77a6dd7bd022_spp,Brazilian Grand Prix,formula1,Interlagos,2025-11-07T00:00:00
ca2d512de98e4f07b8a183e72ede8b76_spp,Qatar Grand Prix,formula1,Lusail International Circuit,2025-11-28T00:00:00
899f1311094e4c20bafee0eeffb6485c_spp,Abu Dhabi Grand Prix,formula1,Yas Marina Circuit,2025-12-05T00:00:00
eaa7c173154a4552a2d9aa2b0e74310b_spp,Las Vegas Grand Prix,formula1,Las Vegas Street Circuit,2025-11-20T00:00:00
b2eb772e617b4db88887433a2d008243_spp,Bahrain Grand Prix,formula1,Bahrain International Circuit,2026-04-10T00:00:00
5776364d74d346dfa979dd1b522fc5ad_spp,Monaco Grand Prix,formula1,Monaco,2026-06-05T00:00:00
68241bedeb8247e689ac140ab100f5d1_spp,Australian Grand Prix,formula1,Albert Park Street Circuit,2026-03-06T00:00:00
a9695eeeb3e34bf99a672c518ad1ce1c_spp,Chinese Grand Prix,formula1,Shanghai International Circuit,2026-03-13T00:00:00
3910e2ff82f444779c3cdd8c5df24307_spp,Saudi Arabian Grand Prix,formula1,Jeddah Street Circuit,2026-04-17T00:00:00
86b58b14cee8491eb09f2f3eb7809cf4_spp,Miami Grand Prix,formula1,Miami International Autodrome,2026-05-01T00:00:00
4c85060a16df4508b7b19e432da58cde_spp,Spanish Grand Prix,formula1,Circuit Barcelona-Catalunya,2026-06-12T00:00:00
bd54f49aa06c43ce907ede605e86ca50_spp,Japanese Grand Prix,formula1,Circuit Suzuka,2026-03-27T00:00:00
6cfe7524dd2f4c25896b1f0981987ffd_spp,Canadian Grand Prix,formula1,Circuit de Gilles Villeneuve,2026-05-22T00:00:00
1c4dd580ae2249958230603cb3c807fe_spp,Austrian Grand Prix,formula1,Red Bull Ring,2026-06-26T00:00:00
305062bcb9594619b652d9054b241547_spp,British Grand Prix,formula1,Silverstone,2026-07-03T00:00:00
c25e59d32195463faafe41244d672a8b_spp,Belgian Grand Prix,formula1,Circuit de Spa-Francorchamps,2026-07-17T00:00:00
689cec28293846899f5513da2601b961_spp,Hungarian Grand Prix,formula1,Hungaroring,2026-07-24T00:00:00
92126eaef57447d4b0e8cf57b1c64457_spp,Dutch Grand Prix,formula1,Circuit Park Zandvoort,2026-08-21T00:00:00
3b387dbb975a48f2a86e6f24d89aa803_spp,Madrid Grand Prix (Spain),formula1,Madring,2026-09-11T00:00:00
168e50ee39a24acf870d4527d5c20a38_spp,Italian Grand Prix,formula1,Autodromo Nazionale Monza,2026-09-04T00:00:00
0ce6932f63494505bb44e6dfcc9e8cc8_spp,Abu Dhabi Grand Prix,formula1,Yas Marina Circuit,2026-12-04T00:00:00
1b9b60bc3084478dad8192534e8502d9_spp,Azerbaijan Grand Prix,formula1,Baku City Circuit,2026-09-24T00:00:00
84b8cd5f203442bc8062a6f2993b08fc_spp,Mexico Grand Prix,formula1,Autodromo Hermanos Rodriguez,2026-10-30T00:00:00
e3715e72c674403c97509e9dae5f4364_spp,Singapore Grand Prix,formula1,Singapore Street Circuit,2026-10-09T00:00:00
7207be5bff754a2484c58b9de5e606df_spp,US Grand Prix,formula1,Circuit of the Americas,2026-10-23T00:00:00
